Provider ,config_name  ,public_name ,cores ,memory in ,disk space  ,Network power        ,Physical Processor    ,GHz        ,Intel AVX†  ,Intel AVX2† ,Intel Turbo ,EBS OPT ,Enhanced Networking†
Meta     ,n/A          ,n/A         ,16    ,64        ,400         ,?                    ,Intel Xeon E5-2650 v2 ,2.6        ,true        ,–           ,true        ,n/A     ,n/A
Azure    ,ExtraSmall   ,A0          ,0.5   ,0.75      ,20          ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Small        ,A1          ,1     ,1.75      ,40          ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Medium       ,A2          ,2     ,3.5       ,60          ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Large        ,A3          ,4     ,7         ,120         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,ExtraLarge   ,A4          ,8     ,14        ,240         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,A5           ,A5          ,2     ,14        ,605         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,A6           ,A6          ,4     ,28        ,135         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,A7           ,A7          ,8     ,56        ,605         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,A8           ,A8          ,8     ,56        ,382         ,                     ,Intel Xeon E5-Family  ,           ,            ,            ,            ,        ,
Azure    ,A9           ,A9          ,16    ,112       ,382         ,                     ,Intel Xeon E5-Family  ,           ,            ,            ,            ,        ,
Azure    ,A10          ,A10         ,8     ,56        ,382         ,                     ,Intel Xeon E5-Family  ,           ,            ,            ,            ,        ,
Azure    ,A11          ,A11         ,16    ,112       ,382         ,                     ,Intel Xeon E5-Family  ,           ,            ,            ,            ,        ,
Azure    ,Standard_D1  ,D1          ,1     ,3.5       ,50          ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D2  ,D2          ,2     ,7         ,100         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D3  ,D3          ,4     ,14        ,200         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D4  ,D4          ,8     ,28        ,400         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D11 ,D11         ,2     ,14        ,100         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D12 ,D12         ,4     ,28        ,200         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D13 ,D13         ,8     ,56        ,400         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_D14 ,D14         ,16    ,112       ,800         ,                     ,                      ,           ,            ,            ,            ,        ,
Azure    ,Standard_G1  ,G1          ,2     ,28        ,384         ,                     ,Intel Xeon E5 v3 Fam  ,           ,            ,            ,            ,        ,
Azure    ,Standard_G2  ,G2          ,4     ,56        ,768         ,                     ,Intel Xeon E5 v3 Fam  ,           ,            ,            ,            ,        ,
Azure    ,Standard_G3  ,G3          ,8     ,112       ,1536        ,                     ,Intel Xeon E5 v3 Fam  ,           ,            ,            ,            ,        ,
Azure    ,Standard_G4  ,G4          ,16    ,224       ,3072        ,                     ,Intel Xeon E5 v3 Fam  ,           ,            ,            ,            ,        ,
