config_name    ,public_name   ,cores    ,memory in,disk space
ExtraSmall     ,A0            ,0.5      ,0.75     ,20        
Small          ,A1            ,1        ,1.75     ,40        
Medium         ,A2            ,2        ,3.5      ,60        
Large          ,A3            ,4        ,7        ,120       
ExtraLarge     ,A4            ,8        ,14       ,240       
A5             ,A5            ,2        ,14       ,605       
A6             ,A6            ,4        ,28       ,135       
A7             ,A7            ,8        ,56       ,605       
A8             ,A8            ,8        ,56       ,382       
A9             ,A9            ,16       ,112      ,382       
A10            ,A10           ,8        ,56       ,382       
A11            ,A11           ,16       ,112      ,382       
Standard_D1    ,D1            ,1        ,3.5      ,50        
Standard_D2    ,D2            ,2        ,7        ,100       
Standard_D3    ,D3            ,4        ,14       ,200       
Standard_D4    ,D4            ,8        ,28       ,400       
Standard_D11   ,D11           ,2        ,14       ,100       
Standard_D12   ,D12           ,4        ,28       ,200       
Standard_D13   ,D13           ,8        ,56       ,400       
Standard_D14   ,D14           ,16       ,112      ,800       
Standard_G1    ,G1            ,2        ,28       ,384       
Standard_G2    ,G2            ,4        ,56       ,768       
Standard_G3    ,G3            ,8        ,112      ,1536      
Standard_G4    ,G4            ,16       ,224      ,3072      
Standard_G5    ,G5            ,32       ,448      ,6144      
